Filght_date,Flight_ID,Departure point,Arrival point,Scheduled_departure_time,Scheduled_arrival_time,STATUS,Aircraft_code,Arrival delay
2016-02-08,TU 0319 ,LIS,MAD,2016-02-08 18:00:00,2016-02-08 19.25.00,ATA,TU 736IOR,0.0
2016-02-08,TU 0247 ,SXB,TUN,2016-02-08 18:30:00,2016-02-08 20.45.00,ATA,TU 736IOP,20.0
2016-02-08,TU 0913 ,TUN,MED,2016-02-08 19:40:00,2016-02-09 00.00.00,ATA,TU 320IMR,0.0
2016-02-10,TU 0338 ,TUN,ALG,2016-02-10 14:30:00,2016-02-10 15.50.00,ATA,TU 320IMT,0.0
2016-02-10,TU 0722 ,TUN,ORY,2016-02-10 15:10:00,2016-02-10 17.30.00,ATA,TU 320IMW,0.0
2016-02-10,TU 0719 ,ORY,TUN,2016-02-10 14:55:00,2016-02-10 17.20.00,ATA,TU 32AIMF,5.0
2016-02-10,TU 0757 ,MXP,TUN,2016-02-10 15:05:00,2016-02-10 16.55.00,ATA,TU 31BIMQ,17.0
2016-02-14,TU 0720 ,TUN,ORY,2016-02-14 12:20:00,2016-02-14 14.40.00,ATA,TU 320IMU,236.0
2016-02-14,TU 0705 ,TUN,CMN,2016-02-14 14:10:00,2016-02-14 16.55.00,ATA,TU 320IMT,161.0
2016-02-19,TU 0705 ,TUN,CMN,2016-02-19 14:10:00,2016-02-19 16.55.00,ATA,TU 736IOR,81.0
2016-02-22,TU 0339 ,ALG,TUN,2016-02-22 17:00:00,2016-02-22 18.10.00,ATA,TU 320IMU,0.0
2016-02-24,TU 0718 ,TUN,ORY,2016-02-24 11:35:00,2016-02-24 13.55.00,ATA,TU 320IMR,25.0
2016-02-24,TU 0216 ,TUN,IST,2016-02-24 16:00:00,2016-02-24 18.35.00,ATA,TU 31BIMQ,0.0
2016-02-24,TU 0339 ,ALG,TUN,2016-02-24 17:00:00,2016-02-24 18.10.00,ATA,TU 320IMV,0.0
2016-02-24,TU 6047 ,TUN,JED,2016-02-24 16:50:00,2016-02-24 21.15.00,ATA,TU 320IMS,14.0
2016-02-28,TU 0700 ,TUN,GVA,2016-02-28 12:40:00,2016-02-28 14.35.00,ATA,TU 320IMU,23.0
2016-02-29,TU 0635 ,MIR,DJE,2016-02-29 15:15:00,2016-02-29 15.55.00,ATA,TU 32AIMF,0.0
2016-03-01,TU 0757 ,MXP,TUN,2016-03-01 15:05:00,2016-03-01 16.55.00,ATA,TU 31BIMO,4.0
2016-03-01,TU 0851 ,LYS,TUN,2016-03-01 15:05:00,2016-03-01 17.00.00,ATA,TU 31AIMK,30.0
2016-03-01,TU 6021 ,DJE,JED,2016-03-01 22:00:00,2016-03-02 02.15.00,ATA,TU 320IMW,0.0
2016-03-01,TU 0397 ,OUA,ABJ,2016-03-01 23:40:00,2016-03-02 01.05.00,ATA,TU 320IMS,0.0
2016-03-05,TU 0716 ,TUN,ORY,2016-03-05 07:35:00,2016-03-05 09.55.00,ATA,TU 32AIMI,11.0
2016-03-05,TU 0875 ,TUN,DJE,2016-03-05 13:05:00,2016-03-05 13.55.00,ATA,TU 736IOP,7.0
2016-03-05,TU 0902 ,TUN,MRS,2016-03-05 13:15:00,2016-03-05 14.55.00,ATA,TU 32AIML,13.0
2016-03-24,TU 0700 ,TUN,GVA,2016-03-24 12:40:00,2016-03-24 14.35.00,ATA,TU 320IMU,10.0
2016-03-29,TU 0226 ,TUN,BEG,2016-03-29 06:15:00,2016-03-29 08.25.00,ATA,TU 736IOP,42.0
2016-03-29,TU 0711 ,TUN,CMN,2016-03-29 07:00:00,2016-03-29 09.40.00,ATA,TU 320IMW,0.0
2016-04-26,TU 0216 ,TUN,IST,2016-04-26 15:55:00,2016-04-26 18.30.00,ATA,TU 32AIML,11.0
2016-05-30,TU 5505 ,TUN,MED,2016-05-30 01:15:00,2016-05-30 05.15.00,ATA,TU 320IMW,34.0
2016-05-31,TU 0788 ,TUN,BRU,2016-05-31 07:30:00,2016-05-31 10.05.00,ATA,TU 320IMV,7.0
2016-05-31,TU 0996 ,TUN,NCE,2016-05-31 07:50:00,2016-05-31 09.20.00,ATA,TU 320IMW,0.0
2016-05-31,TU 0752 ,TUN,FCO,2016-05-31 07:55:00,2016-05-31 09.20.00,ATA,TU 320IMS,0.0
2016-05-31,TU 0642 ,TUN,VIE,2016-05-31 08:15:00,2016-05-31 10.30.00,ATA,TU 32AIMI,0.0
2016-06-01,UG 1300 ,TUN,MLA,2016-06-01 09:30:00,2016-06-01 10.30.00,ATA,TU 736IOK,84.0
2016-06-01,TU 0791 ,LGW,TUN,2016-06-01 10:00:00,2016-06-01 12.40.00,ATA,TU 31BIMO,11.0
2016-06-03,TU 0362 ,TUN,BLQ,2016-06-03 13:55:00,2016-06-03 15.30.00,ATA,TU 31BIMQ,0.0
2016-06-03,TU 0848 ,BEY,TUN,2016-06-03 13:25:00,2016-06-03 16.55.00,ATA,TU 32AIMD,15.0
2016-06-04,TU 6031 ,TUN,SFA,2016-06-04 14:35:00,2016-06-04 15.20.00,ATA,TU 320IMT,37.0
2016-06-05,TU 6024 ,JED,DJE,2016-06-05 01:15:00,2016-06-05 05.50.00,ATA,TU 320IMW,35.0
2016-06-05,TU 0998 ,TUN,NCE,2016-06-05 14:15:00,2016-06-05 15.45.00,ATA,TU 320IMR,25.0
2016-06-05,TU 0606 ,TUN,MAD,2016-06-05 14:30:00,2016-06-05 16.35.00,ATA,TU 31BIMQ,15.0
2016-06-05,TU 0852 ,TUN,FCO,2016-06-05 14:25:00,2016-06-05 15.50.00,ATA,TU 32AIMM,21.0
2016-06-05,TU 0999 ,NCE,TUN,2016-06-05 16:35:00,2016-06-05 18.05.00,ATA,TU 320IMR,25.0
2016-06-05,TU 0713 ,TUN,JED,2016-06-05 18:55:00,2016-06-05 23.10.00,ATA,TU 320IMW,27.0
2016-06-05,TU 8539 ,OPO,LIS,2016-06-05 15:25:00,2016-06-05 16.15.00,ATA,TU 736IOR,0.0
2016-06-05,TU 0695 ,MRS,DJE,2016-06-05 15:15:00,2016-06-05 17.15.00,ATA,TU 736IOK,7.0
2016-06-05,TU 0721 ,ORY,TUN,2016-06-05 14:55:00,2016-06-05 17.20.00,ATA,TU 332IFM,45.0
2016-06-05,TU 0635 ,ORY,DJE,2016-06-05 16:05:00,2016-06-05 18.50.00,ATA,TU 32AIMN,18.0
2016-06-06,TU 0527 ,DUS,TUN,2016-06-06 10:00:00,2016-06-06 12.40.00,ATA,TU 32AIMM,5.0
2016-06-06,TU 0515 ,BCN,TUN,2016-06-06 10:40:00,2016-06-06 12.10.00,ATA,TU 320IMU,0.0
2016-06-06,TU 0745 ,FRA,TUN,2016-06-06 10:20:00,2016-06-06 12.45.00,ATA,TU 736IOL,22.0
2016-06-12,TU 0790 ,TUN,LHR,2016-06-12 12:50:00,2016-06-12 15.55.00,ATA,TU 31BIMO,0.0
2016-06-12,TU 0756 ,TUN,MXP,2016-06-12 12:30:00,2016-06-12 14.15.00,ATA,TU 32AIMF,0.0
2016-06-12,UG 1310 ,SFA,CDG,2016-06-12 10:15:00,2016-06-12 12.45.00,DEP,TU CR9ISA,10.0
2016-06-12,TU 0642 ,TUN,VIE,2016-06-12 13:45:00,2016-06-12 16.00.00,ATA,TU 32AIMG,15.0
2016-06-15,TU 0996 ,TUN,NCE,2016-06-15 07:50:00,2016-06-15 09.20.00,ATA,TU 32AIML,0.0
2016-06-15,TU 0752 ,TUN,FCO,2016-06-15 07:55:00,2016-06-15 09.20.00,ATA,TU 320IMV,0.0
2016-06-15,TU 0750 ,TUN,LYS,2016-06-15 08:00:00,2016-06-15 09.50.00,ATA,TU 320IMS,0.0
2016-06-15,TU 0856 ,TUN,MXP,2016-06-15 08:00:00,2016-06-15 09.45.00,ATA,TU 32AIMG,0.0
2016-06-15,TU 0514 ,TUN,BCN,2016-06-15 08:05:00,2016-06-15 09.50.00,ATA,TU 32AIMN,9.0
2016-06-18,TU 0757 ,MXP,TUN,2016-06-18 15:05:00,2016-06-18 16.55.00,ATA,TU 320IMR,0.0
2016-06-18,TU 0441 ,ORY,MIR,2016-06-18 14:35:00,2016-06-18 17.10.00,ATA,TU 736IOK,5.0
2016-06-18,TU 0485 ,TUN,DJE,2016-06-18 20:05:00,2016-06-18 21.00.00,ATA,TU 736ION,0.0
2016-06-18,TU 9041 ,MIR,TUN,2016-06-18 22:40:00,2016-06-18 23.20.00,ATA,TU 736IOK,0.0
2016-06-19,TU 0751 ,LYS,TUN,2016-06-19 10:40:00,2016-06-19 12.35.00,ATA,TU 31BIMO,25.0
2016-06-19,TU 0753 ,FCO,TUN,2016-06-19 10:20:00,2016-06-19 11.35.00,ATA,TU 32AIMF,15.0
2016-06-19,TU 0756 ,TUN,MXP,2016-06-19 12:30:00,2016-06-19 14.15.00,ATA,TU 32AIMM,14.0
2016-06-19,TU 0606 ,TUN,MAD,2016-06-19 14:30:00,2016-06-19 16.35.00,ATA,TU 31BIMO,6.0
2016-06-20,TU 0813 ,TUN,CAI,2016-06-20 14:35:00,2016-06-20 17.35.00,ATA,TU 31BIMO,0.0
2016-06-21,TU 0716 ,TUN,ORY,2016-06-21 06:50:00,2016-06-21 09.10.00,ATA,TU 32AIML,9.0
2016-06-21,TU 0603 ,DJE,TUN,2016-06-21 12:35:00,2016-06-21 13.25.00,ATA,TU 736ION,0.0
2016-06-21,TU 0722 ,TUN,ORY,2016-06-21 13:55:00,2016-06-21 16.20.00,ATA,TU 332IFN,19.0
2016-06-23,UG 1311 ,CDG,TUN,2016-06-23 17:05:00,2016-06-23 19.20.00,DEP,TU CR9ISA,20.0
2016-06-24,TU 0564 ,NKC,TUN,2016-06-24 00:30:00,2016-06-24 04.45.00,ATA,TU 320IMU,25.0
2016-06-23,TU 0209 ,NTE,TUN,2016-06-23 16:30:00,2016-06-23 18.50.00,ATA,TU 320IMR,40.0
2016-06-23,TU 0283 ,TLS,TUN,2016-06-23 17:00:00,2016-06-23 18.55.00,ATA,TU 32AIML,28.0
2016-06-27,TU 0813 ,TUN,CAI,2016-06-27 14:35:00,2016-06-27 17.35.00,ATA,TU 31BIMQ,58.0
2016-06-30,TU 0398 ,ABJ,TUN,2016-06-30 22:40:00,2016-07-01 03.55.00,ATA,TU 320IMW,170.0
2016-07-02,TU 0603 ,ZRH,TUN,2016-07-02 09:10:00,2016-07-02 11.20.00,ATA,TU 736IOP,6.0
2016-07-03,TU 0903 ,MRS,TUN,2016-07-03 13:50:00,2016-07-03 15.25.00,ATA,TU 32AIMF,0.0
2016-07-03,TU 9147 ,DJE,SFA,2016-07-03 15:50:00,2016-07-03 16.25.00,ATA,TU 736IOK,0.0
2016-07-03,TU 0701 ,GVA,TUN,2016-07-03 16:10:00,2016-07-03 18.05.00,ATA,TU 32AIML,34.0
2016-07-03,TU 0606 ,TUN,MAD,2016-07-03 14:30:00,2016-07-03 16.35.00,ATA,TU 31BIMO,6.0
2016-07-03,TU 0397 ,TUN,ABJ,2016-07-03 16:30:00,2016-07-03 21.50.00,ATA,TU 320IMS,221.0
2016-07-03,AT 0606 ,OUD,MRS,2016-07-03 16:40:00,2016-07-03 18.35.00,ATA,TU 32AIMM,0.0
2016-07-03,TU 0217 ,IST,TUN,2016-07-03 20:10:00,2016-07-03 22.55.00,ATA,TU 32AIMG,34.0
2016-07-08,TU 0538 ,DJE,DUS,2016-07-08 06:30:00,2016-07-08 09.35.00,ATA,TU 736IOP,133.0
2016-07-08,TU 0499 ,MUC,DJE,2016-07-08 07:40:00,2016-07-08 10.15.00,ATA,TU 736IOK,27.0
2016-07-08,TU 0750 ,TUN,LYS,2016-07-08 08:00:00,2016-07-08 09.50.00,ATA,TU 32AIMF,14.0
2016-07-08,TU 5520 ,JED,TUN,2016-07-08 07:15:00,2016-07-08 12.10.00,ATA,TU 332IFN,80.0
2016-07-08,TU 0514 ,TUN,BCN,2016-07-08 08:05:00,2016-07-08 09.50.00,ATA,TU 32AIMD,17.0
2016-07-08,TU 0251 ,NCE,MIR,2016-07-08 08:25:00,2016-07-08 10.05.00,ATA,TU 736IOL,6.0
2016-07-08,TU 0848 ,BEY,TUN,2016-07-08 11:35:00,2016-07-08 15.05.00,ATA,TU 320IMW,51.0
2016-07-08,TU 0931 ,MRS,TUN,2016-07-08 08:50:00,2016-07-08 10.25.00,ATA,TU 32AIML,10.0
2016-07-08,TU 6551 ,SXF,DJE,2016-07-08 09:10:00,2016-07-08 12.15.00,ATA,TU 736IOR,0.0
2016-07-08,AT 0624 ,OUD,ORY,2016-07-08 08:20:00,2016-07-08 11.00.00,ATA,TU 32AIMN,0.0
2016-07-08,TU 0718 ,TUN,ORY,2016-07-08 09:20:00,2016-07-08 11.40.00,ATA,TU 32AIMG,4.0
2016-07-08,TU 0467 ,HAM,DJE,2016-07-08 09:30:00,2016-07-08 12.40.00,ATA,TU 31AIMJ,6.0
2016-07-08,TU 9130 ,MIR,TUN,2016-07-08 10:25:00,2016-07-08 11.00.00,ATA,TU 320IMS,0.0
2016-07-08,TU 0635 ,ORY,DJE,2016-07-08 09:50:00,2016-07-08 12.35.00,ATA,TU 31AIMK,15.0
2016-07-08,TU 0527 ,DUS,TUN,2016-07-08 10:00:00,2016-07-08 12.40.00,ATA,TU 320IMV,18.0
2016-07-08,TU 0717 ,ORY,TUN,2016-07-08 10:30:00,2016-07-08 12.55.00,ATA,TU 320IMT,0.0
2016-07-11,TU 0473 ,VCE,TUN,2016-07-11 11:30:00,2016-07-11 13.10.00,ATA,TU 31BIMQ,0.0
2016-07-15,TU 6548 ,TUN,HAM,2016-07-15 06:30:00,2016-07-15 09.25.00,ATA,TU 32AIMF,17.0
2016-07-15,TU 0788 ,TUN,BRU,2016-07-15 07:30:00,2016-07-15 10.05.00,ATA,TU 320IMU,25.0
2016-07-15,TU 0848 ,BEY,TUN,2016-07-15 11:35:00,2016-07-15 15.05.00,ATA,TU 320IMR,90.0
2016-07-16,TU 0647 ,FRA,NBE,2016-07-16 17:45:00,2016-07-16 20.10.00,ATA,TU 32AIML,14.0
2016-07-23,AT 0678 ,NDR,BRU,2016-07-23 06:30:00,2016-07-23 09.20.00,ATA,TU 32AIMP,650.0
2016-07-23,TU 0634 ,DJE,ORY,2016-07-23 06:05:00,2016-07-23 08.50.00,ATA,TU 31AIMJ,5.0
2016-07-23,TU 0602 ,TUN,ZRH,2016-07-23 06:10:00,2016-07-23 08.15.00,ATA,TU 736IOM,6.0
2016-07-23,TU 0725 ,ORY,TUN,2016-07-23 06:00:00,2016-07-23 08.25.00,ATA,TU 32AIMI,15.0
2016-07-23,TU 0930 ,TUN,MRS,2016-07-23 06:25:00,2016-07-23 08.00.00,ATA,TU 320IMS,0.0
2016-07-23,TU 0874 ,DJE,GVA,2016-07-23 06:15:00,2016-07-23 08.35.00,ATA,TU 31AIMK,25.0
2016-07-23,TU 0875 ,GVA,DJE,2016-07-23 09:25:00,2016-07-23 11.40.00,ATA,TU 31AIMK,14.0
2016-07-23,TU 0339 ,ALG,TUN,2016-07-23 09:50:00,2016-07-23 11.00.00,ATA,TU 320IMU,310.0
2016-07-23,TU 0716 ,TUN,ORY,2016-07-23 06:50:00,2016-07-23 09.10.00,ATA,TU 32AIMH,0.0
2016-07-23,AT 0668 ,OUD,AMS,2016-07-23 06:45:00,2016-07-23 10.00.00,ATA,TU 32AIMN,10.0
2016-07-23,TU 0711 ,TUN,NDR,2016-07-23 07:00:00,2016-07-23 10.10.00,ATA,TU 320IMR,16.0
2016-07-23,AT 0670 ,NDR,AMS,2016-07-23 06:00:00,2016-07-23 09.10.00,ATA,TU 32AIMM,44.0
2016-07-23,TU 0744 ,TUN,FRA,2016-07-23 07:05:00,2016-07-23 09.40.00,ATA,TU 32AIMG,20.0
2016-07-23,TU 0788 ,TUN,BRU,2016-07-23 07:30:00,2016-07-23 10.05.00,ATA,TU 320IMT,0.0
2016-07-23,TU 0996 ,TUN,NCE,2016-07-23 07:50:00,2016-07-23 09.20.00,ATA,TU 320IMV,5.0
2016-07-23,TU 0750 ,TUN,LYS,2016-07-23 08:00:00,2016-07-23 09.50.00,ATA,TU 320IMW,0.0
2016-07-23,TU 0850 ,TUN,LYS,2016-07-23 13:20:00,2016-07-23 15.10.00,ATA,TU 320IMW,60.0
2016-07-23,TU 2604 ,DJE,ORY,2016-07-23 12:00:00,2016-07-23 14.45.00,ATA,TU 736IOL,0.0
2016-07-25,TU 0789 ,BRU,TUN,2016-07-25 11:00:00,2016-07-25 13.40.00,ATA,TU 32AIMH,61.0
2016-07-25,TU 0318 ,TUN,LIS,2016-07-25 14:35:00,2016-07-25 17.30.00,ATA,TU 736IOK,0.0
2016-07-25,TU 0606 ,TUN,MAD,2016-07-25 14:30:00,2016-07-25 16.35.00,ATA,TU 31AIMK,0.0
2016-07-26,TU 0718 ,TUN,ORY,2016-07-26 09:20:00,2016-07-26 11.40.00,ATA,TU 320IMW,24.0
2016-07-26,TU 0635 ,ORY,DJE,2016-07-26 09:50:00,2016-07-26 12.40.00,ATA,TU 32AIML,18.0
2016-07-26,TU 0282 ,TUN,TLS,2016-07-26 13:20:00,2016-07-26 15.15.00,ATA,TU 320IMV,7.0
2016-07-26,AT 0695 ,FRA,NDR,2016-07-26 18:30:00,2016-07-26 21.30.00,ATA,TU 32AIMP,25.0
2016-04-22,TU 0789 ,BRU,TUN,2016-04-22 11:00:00,2016-04-22 13.35.00,ATA,TU 320IMR,10.0
2016-04-22,TU 6551 ,SXF,DJE,2016-04-22 11:10:00,2016-04-22 14.10.00,ATA,TU 31AIMK,5.0
2016-04-22,TU 0902 ,TUN,MRS,2016-04-22 11:25:00,2016-04-22 13.00.00,ATA,TU 320IMT,14.0
2016-04-22,TU 0720 ,TUN,ORY,2016-04-22 12:25:00,2016-04-22 14.45.00,ATA,TU 320IMU,8.0
2016-04-22,TU 0756 ,TUN,MXP,2016-04-22 12:30:00,2016-04-22 14.15.00,ATA,TU 32AIMC,39.0
2016-04-22,TU 0850 ,TUN,LYS,2016-04-22 13:20:00,2016-04-22 15.10.00,ATA,TU 320IMW,22.0
2016-04-22,TU 0648 ,DJE,FRA,2016-04-22 13:05:00,2016-04-22 16.05.00,ATA,TU 736IOK,46.0
2016-04-22,TU 0472 ,TUN,VCE,2016-04-22 13:15:00,2016-04-22 14.55.00,ATA,TU 32AIML,36.0
2016-04-22,TU 0903 ,MRS,TUN,2016-04-22 13:50:00,2016-04-22 15.25.00,ATA,TU 320IMT,5.0
2016-04-22,TU 0246 ,TUN,SXB,2016-04-22 13:35:00,2016-04-22 15.55.00,ATA,TU 736IOR,27.0
2016-04-22,TU 0374 ,TUN,ALG,2016-04-22 13:45:00,2016-04-22 15.05.00,ATA,TU 332IFM,32.0
2016-04-22,TU 0722 ,TUN,ORY,2016-04-22 13:55:00,2016-04-22 16.20.00,ATA,TU 320IMS,9.0
2016-04-22,TU 0713 ,TUN,JED,2016-04-22 18:55:00,2016-04-22 23.10.00,ATA,TU 332IFM,58.0
2016-04-22,TU 0555 ,SXB,DJE,2016-04-22 18:00:00,2016-04-22 20.40.00,ATA,TU 736IOQ,0.0
2016-04-22,TU 0723 ,ORY,TUN,2016-04-22 17:50:00,2016-04-22 20.20.00,ATA,TU 320IMS,0.0
2016-04-22,TU 0724 ,TUN,ORY,2016-04-22 18:20:00,2016-04-22 20.40.00,ATA,TU 32AIMD,0.0
2016-04-23,TU 9011 ,TUN,NBE,2016-04-23 03:40:00,2016-04-23 04.15.00,ATA,TU 31AIMJ,0.0
2016-04-23,TU 9062 ,TUN,MIR,2016-04-23 04:00:00,2016-04-23 04.40.00,ATA,TU 32AIMI,0.0
2016-04-23,TU 9006 ,TUN,MIR,2016-04-23 04:30:00,2016-04-23 05.05.00,ATA,TU 32AIMC,0.0
2016-04-23,TU 0726 ,DJE,MIR,2016-04-23 04:40:00,2016-04-23 05.20.00,ATA,TU 32AIMF,0.0
2016-04-23,TU 0250 ,MIR,NCE,2016-04-23 05:55:00,2016-04-23 07.35.00,ATA,TU 32AIMC,29.0
2016-04-23,TU 0700 ,DJE,TUN,2016-04-23 06:30:00,2016-04-23 07.20.00,ATA,TU 736IOK,0.0
2016-04-23,TU 0540 ,NBE,DUS,2016-04-23 06:50:00,2016-04-23 09.40.00,ATA,TU 320IMU,0.0
2016-04-23,TU 0552 ,NBE,HAM,2016-04-23 06:40:00,2016-04-23 09.35.00,ATA,TU 32AIMN,0.0
2016-04-23,TU 0931 ,MRS,TUN,2016-04-23 08:50:00,2016-04-23 10.25.00,ATA,TU 32AIML,0.0
2016-04-23,TU 0595 ,MUC,NBE,2016-04-23 08:25:00,2016-04-23 10.40.00,ATA,TU 31AIMJ,50.0
2016-04-23,TU 0717 ,ORY,TUN,2016-04-23 10:15:00,2016-04-23 12.40.00,ATA,TU 320IMR,10.0
2016-04-23,TU 0719 ,ORY,TUN,2016-04-23 12:40:00,2016-04-23 15.05.00,ATA,TU 320IMW,5.0
2016-04-23,TU 0646 ,TUN,FRA,2016-04-23 15:15:00,2016-04-23 17.50.00,ATA,TU 32AIMN,5.0
2016-04-23,TU 0851 ,LYS,TUN,2016-04-23 16:00:00,2016-04-23 17.55.00,ATA,TU 32AIMP,15.0
